ASIN,Product_name,price,rating,Number_of_ratings,Brand,Seller,category,subcategory,sub_sub_category,category_sub_sub_sub,colour,size_options,description,link,Image_URLs,About_the_items_bullet,Product_details,Additional_Details,Manufacturer_Name
B0DSFQZTVW,,₹59990,3.9,0,,,,,,,,,,https://www.amazon.in/Dell-15DC15250-Intel-Core-13th/dp/B0DSFQZTVW/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-9,,,{},{},
B0CJBL2QWY,,₹32990,4.0,0,,,,,,,,,,https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-10,,,{},{},
,,₹55990,3.7,0,,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3MzM4MjYzOTk2MDY3OjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA3NjQwMzY0MTgyMzI6OjA6Og&url=%2FDell-Intel-Core-13th-Gen%2Fdp%2FB0D2Y1BLDT%2Fref%3Dmp_s_a_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1763410831%26sr%3D8-11-spons%26aref%3D2wLeEr8099%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=2wLeEr8099&sp_cr=ZAZ,,,{},{},
,,₹37990,4.0,0,,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3MzM4MjYzOTk2MDY3OjE3NjM0MTA4MzE6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA4MTg5NTQwMTQ2MzI6OjA6Og&url=%2FHP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU%2Fdp%2FB0F4R3GFMQ%2Fref%3Dmp_s_a_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1763410831%26sr%3D8-12-spons%26aref%3DsujmrlEMaZ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&aref=sujmrlEMaZ&sp_cr=ZAZ,,,{},{},
B0D7PSTHRD,,₹22990,3.4,0,Visit the acer Store,,,,,,,,,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-13,,,{},{},
B0FDBLR2HT,,₹34950,4.6,0,,,,,,,,,,https://www.amazon.in/HP-G10-i5-1135G7-Windows-Business/dp/B0FDBLR2HT/ref=mp_s_a_1_14?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-14,,,{},{},
B0DG5CY2Y2,,₹28990,4.0,0,,,,,,,,,,https://www.amazon.in/Dell-Inspiron-3535-Windows-Processor/dp/B0DG5CY2Y2/ref=mp_s_a_1_15?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-15,,,{},{},
B0CKX9PY1H,,₹12990,3.0,0,Brand: JIO,,,,,,,,,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=mp_s_a_1_16?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-16,,,{},{},
B0CM6GVR56,,₹35990.,4.0,0,Visit the acer Store,,,,,,,,,https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=mp_s_a_1_17?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-17,,,{},{},
B0CGVLLWT3,,₹12990,3.2,0,Brand: Walker,,,,,,,,,https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=mp_s_a_1_18?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-18,,,{},{},
B0CHRNQBCR,"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue",₹19999.,2.8,48,Visit the acer Store,,,,,,,,,https://www.amazon.in/Acer-Celeron-Windows-Laptop-Z8-284/dp/B0CHRNQBCR/ref=mp_s_a_1_19?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-19,,,{},{},
B0FDLB7BQZ,,₹14990,4.4,0,Visit the Primebook Store,,,,,,,,,https://www.amazon.in/Primebook-Upgradable-MediaTek-G99-PrimeOS3-0/dp/B0FDLB7BQZ/ref=mp_s_a_1_20?dib=eyJ2IjoiMSJ9.TurKsfLYLY2VjheS3kBjjtozFUlWbqoTgj8ajmpnTW_q8hKU2mHclM3sG2UDLdZF1mP0q2OXNgLOVWCa4cS8WLwr0_z5gwrI62Epm3MwcEKIug8dHrZJrfEO-RbvCCGpaGkoOX6p2UEUmp2LPG7tmh5rej8cmwNasrVrspV9umDGcQdyuFdphDw8AFbXjSNpX12Fx4fs75nePARf3kGuYw.q-kZNbWCZ60l3-0sr7E0KIDer8C2Nn_XO1__vXBjSmI&dib_tag=se&keywords=laptops&qid=1763410831&sr=8-20,,,{},{},
